pdf_key;name;current_lat;current_lon;google_search_url;google_maps_url_or_coords;notes
PDF_012;Urban Farm PIK;-6.112306;106.737847;https://www.google.com/maps/search/?api=1&query=Urban%20Farm%20PIK%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
PDF_013;Pantjoran PIK;-6.090332;106.744207;https://www.google.com/maps/search/?api=1&query=Pantjoran%20PIK%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
PDF_014;Sedayu Indo Golf;-6.082173;106.75214;https://www.google.com/maps/search/?api=1&query=Sedayu%20Indo%20Golf%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
PDF_015;Baywalk Mall;-6.107913;106.779619;https://www.google.com/maps/search/?api=1&query=Baywalk%20Mall%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
PDF_016;PIK Shiva Mandir Temple;-6.125288;106.784548;https://www.google.com/maps/search/?api=1&query=PIK%20Shiva%20Mandir%20Temple%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
PDF_017;Art: 1 New Museum;-6.146939;106.840204;https://www.google.com/maps/search/?api=1&query=Art%3A%201%20New%20Museum%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
PDF_018;Jakarta International Velodrome;-6.19325;106.889903;https://www.google.com/maps/search/?api=1&query=Jakarta%20International%20Velodrome%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
PDF_019;Ramlie Musofa Mosque;-6.14608;106.871241;https://www.google.com/maps/search/?api=1&query=Ramlie%20Musofa%20Mosque%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
PDF_020;Jakarta International Equestrian Park;-6.179381;106.889451;https://www.google.com/maps/search/?api=1&query=Jakarta%20International%20Equestrian%20Park%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
PDF_021;Sunter Lake;-6.138162;106.870886;https://www.google.com/maps/search/?api=1&query=Sunter%20Lake%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
PDF_022;Mall of Indonesia;-6.150967;106.892158;https://www.google.com/maps/search/?api=1&query=Mall%20of%20Indonesia%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
PDF_023;JIEXPO;-6.147796;106.846041;https://www.google.com/maps/search/?api=1&query=JIEXPO%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
PDF_024;Jakarta International Stadium;-6.125306;106.860111;https://www.google.com/maps/search/?api=1&query=Jakarta%20International%20Stadium%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
PDF_025;Kemayoran City Forest;-6.157222;106.846389;https://www.google.com/maps/search/?api=1&query=Kemayoran%20City%20Forest%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
PDF_026;Royale Jakarta Golf Club;-6.271247;106.894547;https://www.google.com/maps/search/?api=1&query=Royale%20Jakarta%20Golf%20Club%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
PDF_027;Pancasila Sakti Monument;-6.288818;106.907574;https://www.google.com/maps/search/?api=1&query=Pancasila%20Sakti%20Monument%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
PDF_028;Taman Mini Indonesia Indah;-6.302445;106.895095;https://www.google.com/maps/search/?api=1&query=Taman%20Mini%20Indonesia%20Indah%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
PDF_029;Cibubur Scout Camping Ground;-6.340008;106.8909;https://www.google.com/maps/search/?api=1&query=Cibubur%20Scout%20Camping%20Ground%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
PDF_030;Cijantung City Forest;-6.321991;106.858571;https://www.google.com/maps/search/?api=1&query=Cijantung%20City%20Forest%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
PDF_031;Cijantung Skate Park;-6.30762;106.8644;https://www.google.com/maps/search/?api=1&query=Cijantung%20Skate%20Park%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
PDF_032;Kampoeng Maen;-6.3392;106.9038;https://www.google.com/maps/search/?api=1&query=Kampoeng%20Maen%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
PDF_033;Istana Susu Cibubur Garden Dairy;-6.344752;106.911741;https://www.google.com/maps/search/?api=1&query=Istana%20Susu%20Cibubur%20Garden%20Dairy%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
PDF_034;Cibubur Bee Park;-6.340833;106.905833;https://www.google.com/maps/search/?api=1&query=Cibubur%20Bee%20Park%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
PDF_035;Teras Rimbun;-6.369378;106.894242;https://www.google.com/maps/search/?api=1&query=Teras%20Rimbun%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
PDF_036;Taman Cattleya Cibubur;-6.3517;106.9178;https://www.google.com/maps/search/?api=1&query=Taman%20Cattleya%20Cibubur%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
PDF_037;Taman Benyamin Sueb;-6.153599;106.851326;https://www.google.com/maps/search/?api=1&query=Taman%20Benyamin%20Sueb%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
PDF_038;Jatinegara Station;-6.214925;106.870339;https://www.google.com/maps/search/?api=1&query=Jatinegara%20Station%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
PDF_039;Jakarta Gems Center;-6.216094;106.869782;https://www.google.com/maps/search/?api=1&query=Jakarta%20Gems%20Center%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
PDF_040;Koinonia Church;-6.213892;106.861903;https://www.google.com/maps/search/?api=1&query=Koinonia%20Church%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
