osm_id,osm_type,name,category,subcategory,latitude,longitude,alamat,phone,website,opening_hours,cuisine,brand,is_minimarket_brand,tipe_fasilitas,name_lower
4253852453,node,Total Buah Segar Boulevard Raya,shop,supermarket,-6.1689916,106.9003313,"Kelapa Gading Boulevard, North Jakarta, 14250",,,,,,False,minimarket,total buah segar boulevard raya
4254005153,node,ITC Cempaka Mas Side Entrance,shop,mall,-6.1659042,106.8767854,"Jalan Letjen. R. Suprapto No.Kav. 1, Central Jakarta, 10640",,,,,,False,minimarket,itc cempaka mas side entrance
4254017186,node,Lippo Mall Puri 1 Side Entrance,shop,mall,-6.1907936,106.7386198,"Jalan Puri Lingkar Luar No.Blok U 1, West Jakarta, 11610",,,,,,False,minimarket,lippo mall puri 1 side entrance
4255663290,node,Maxim Gajah Mada,shop,supermarket,-6.146882,106.8157824,"Jalan Gajah Mada, West Jakarta, 11180",,,,,,False,minimarket,maxim gajah mada
4255672102,node,Prima Fresh Market Mangga Besar,shop,supermarket,-6.1494252,106.8257193,"Mangga Besar 8, West Jakarta, 11180",,,,,,False,minimarket,prima fresh market mangga besar
4262044002,node,All Fresh Gatot Subroto,shop,supermarket,-6.2413154,106.8391521,"Jalan Jenderal Gatot Subroto No.185, Tebet, South Jakarta, 12870",,,,,,False,minimarket,all fresh gatot subroto
4306950589,node,Toko Ginting,shop,convenience,-6.294016,106.8603315,Jalan Raya Tengah,,,,,,False,minimarket,toko ginting
4307243591,node,Tanah Abang Market,shop,department_store,-6.1861844,106.813842,,,,,,,False,minimarket,tanah abang market
4330207989,node,Indomaret,shop,supermarket,-6.2902014,106.7711339,Jalan Pasar Jumat,,,,,,True,minimarket,indomaret
4347149038,node,Indomaret,shop,convenience,-6.2289631,106.8670762,,,,,,Indomaret,True,minimarket,indomaret
4372813689,node,Alfamart,shop,convenience,-6.1550139,106.7928725,,,,,,Alfamart,True,minimarket,alfamart
4373238608,node,BOLT! Zone Lippo Mall Puri,shop,mall,-6.1889033,106.7387165,"Lippo Mall Puri Lt.2 Unit 49 No.49, West Jakarta, 11610",,,,,,False,minimarket,bolt! zone lippo mall puri
4424599775,node,Alfamart,shop,convenience,-6.2189163,106.892417,,,,,,Alfamart,True,minimarket,alfamart
4428364823,node,Ranch Farmer's Market,shop,supermarket,-6.1073063,106.7781368,"Pluit Karang Ayu No.1, North Jakarta, 14450",,,,,,False,minimarket,ranch farmer's market
4440022720,node,Alfamart,shop,convenience,-6.2895506,106.8126354,,,,,,,True,minimarket,alfamart
4441778093,node,Indomaret,shop,convenience,-6.1369669,106.9549923,Rorotan 5,,,,,Indomaret,True,minimarket,indomaret
4441953901,node,Indomaret,shop,supermarket,-6.3008781,106.7807313,,,,,,,True,minimarket,indomaret
4441953903,node,Indomaret,shop,supermarket,-6.3012882,106.7805123,,,,,,,True,minimarket,indomaret
4443596983,node,Circle K,shop,convenience,-6.2862228,106.8186497,,,,,,Circle K,True,minimarket,circle k
4443610283,node,daarus salam,shop,convenience,-6.2875131,106.8187195,,,,,,,False,minimarket,daarus salam
4445128881,node,Indomaret,shop,supermarket,-6.2830928,106.7716541,,,,,,,True,minimarket,indomaret
4445128882,node,Alfamart,shop,supermarket,-6.2829283,106.771661,,,,,,,True,minimarket,alfamart
4542473190,node,Indomaret,shop,convenience,-6.2337502,106.8395378,"No.26, Jalan Rasmala Raya, Menteng Dalam, Tebet, RT.7/RW.9, Menteng Dalam, Jakarta Selatan, 12870",,,24/7,,Indomaret,True,minimarket,indomaret
4587093276,node,Alfamart,shop,convenience,-6.2810617,106.8717924,Jalan Raya Bogor,,,,,Alfamart,True,minimarket,alfamart
4621907250,node,FamilyMart,shop,convenience,-6.2021466,106.8016477,"Jalan Gatot Subroto No.Kav. 53b, Petamburan, Tanah Abang, Central Jakarta, 10260",+62 811-8894-873,https://familymartindonesia.com/,Mo-Su 7:00-22:00,,FamilyMart,False,minimarket,familymart
4621921194,node,Alfamart,shop,convenience,-6.201628,106.7989346,Jalan Letjen S. Parman,,,,,Alfamart,True,minimarket,alfamart
4683365743,node,Ranch Market,shop,supermarket,-6.224218,106.8229358,,,,,,,False,minimarket,ranch market
4746929237,node,FoodMart Primo,shop,supermarket,-6.1904104,106.7388572,,,,,,,False,minimarket,foodmart primo
4769057359,node,Swalayan Cahaya,shop,supermarket,-6.3318565,106.8077964,"Jalan Mohamad Kahfi 1, Jakarta",,,,,,False,minimarket,swalayan cahaya
4841574112,node,Indomaret,shop,convenience,-6.1674778,106.8141238,,,,Mo-Su 07:00-22:00,,Indomaret,True,minimarket,indomaret
4841891115,node,Super Indo,shop,supermarket,-6.224403,106.8779792,Jalan Basuki Rahmat,,,,,Super Indo,False,minimarket,super indo
4859119632,node,Giant Hypermarket,shop,supermarket,-6.1891008,106.7963762,Jalan Letjen S. Parman,,,,,Giant Hypermarket,True,minimarket,giant hypermarket
4882413932,node,Super Indo,shop,supermarket,-6.1941301,106.8906367,Jalan Paus,,,,,Super Indo,False,minimarket,super indo
4916416964,node,Hypermart,shop,supermarket,-6.1520113,106.7139602,Jalan Tanah Lot,,,,,,True,minimarket,hypermart
4948484697,node,Indomaret,shop,convenience,-6.2479637,106.9079096,Jalan Jati Waringin,,,,,Indomaret,True,minimarket,indomaret
4976500037,node,Indomaret,shop,convenience,-6.2476956,106.7817211,,,,,,Indomaret,True,minimarket,indomaret
4978747830,node,Indomaret,shop,convenience,-6.1343278,106.812886,,,,Mo-Su 07:00-22:00,,Indomaret,True,minimarket,indomaret
5018114528,node,Alfamart,shop,convenience,-6.2399769,106.8189913,,,,,,Alfamart,True,minimarket,alfamart
5026090261,node,Shell Select,shop,convenience,-6.2561841,106.8083934,,,,,,Shell Select,False,minimarket,shell select
5033660304,node,Transmart Carrefour,shop,supermarket,-6.1774596,106.7914774,Jalan Letjen S Parman,,,Mo-Su 10:00-22:00,,,True,minimarket,transmart carrefour
5050808366,node,Ranch Market,shop,supermarket,-6.2464326,106.7943582,Jalan Barito II,,,,,,False,minimarket,ranch market
5054126521,node,Indomaret,shop,convenience,-6.1937226,106.8206323,,,,,,Indomaret,True,minimarket,indomaret
5055940543,node,Spar,shop,supermarket,-6.152886,106.7283583,Jalan Lingkar Barat,,,,,Spar,False,minimarket,spar
5057618608,node,Carrefour,shop,supermarket,-6.139452,106.7308169,Jalan Lingkar Barat,,,,,,True,minimarket,carrefour
5065346524,node,Superindo,shop,supermarket,-6.1223401,106.916011,Jalan Bhayangkara,,,,,,True,minimarket,superindo
5068201112,node,Ramayana,shop,supermarket,-6.2852433,106.8408505,DKI Jakarta,,,,,,False,minimarket,ramayana
5068211209,node,Kelapa Gading Mall 3,shop,mall,-6.1576102,106.9073515,"Jl. Boulevard Kelapa Gading, Central Jakarta, 14240",,,,,,False,minimarket,kelapa gading mall 3
